INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../source/simple_convnet_tb.cpp in release mode
   Compiling ../../../source/func.cpp in release mode
   Compiling ../../../source/init.cpp in release mode
   Compiling ../../../source/simple_convnet.cpp in release mode
   Generating csim.exe
4: -9.954133
5: -20.694553
6: -23.526933
7: 16.110310
8: -4.029319
9: -1.158071
 41 result:7, answer:7
0: -18.375271
1: -8.488183
2: -10.491947
3: -9.176004
4: 7.872388
5: 2.171458
6: -6.483119
7: 0.403109
8: -10.308384
9: -0.093425
 42 result:4, answer:4
0: -8.442690
1: -5.452696
2: 27.152466
3: -9.306667
4: 10.308226
5: -39.818423
6: -3.513795
7: -23.898017
8: -10.924964
9: -17.581921
 43 result:2, answer:2
0: -20.672723
1: -0.757235
2: -6.376498
3: 15.374683
4: -7.879200
5: 0.133611
6: -17.675550
7: -4.720543
8: -4.948253
9: -4.732144
 44 result:3, answer:3
0: -12.228197
1: -29.140817
2: -19.007034
3: -2.485776
4: -22.946003
5: 26.731994
6: -0.635018
7: -25.091890
8: -1.154165
9: -12.615665
 45 result:5, answer:5
0: -14.686022
1: 19.502954
2: -7.623548
3: -14.758544
4: -7.494352
5: -11.446043
6: -16.910164
7: 2.614555
8: 1.654886
9: -3.735495
 46 result:1, answer:1
0: -20.885268
1: 3.768432
2: 37.981977
3: -9.778581
4: -15.870677
5: -19.392537
6: -15.429863
7: -7.169917
8: -11.836247
9: -31.198209
 47 result:2, answer:2
0: -19.434433
1: -15.284512
2: -11.651551
3: -9.431137
4: 7.498372
5: 3.280152
6: -15.515815
7: -4.074756
8: -7.131878
9: 7.945321
 48 result:9, answer:4
0: -17.152255
1: -13.691930
2: -4.792965
3: -26.955415
4: 25.787301
5: -10.582243
6: -16.599831
7: 7.011594
8: -31.546911
9: -3.264273
 49 result:4, answer:4
0: -6.166533
1: -23.274289
2: -8.130194
3: -23.003720
4: -12.413132
5: 2.067147
6: 34.472512
7: -41.720690
8: -1.411041
9: -27.480287
 50 result:6, answer:6
0: -30.553669
1: -6.640940
2: 4.128361
3: 18.731136
4: -6.779177
5: -8.710625
6: -8.290327
7: 6.201246
8: 0.500425
9: -11.501276
 51 result:3, answer:3
0: -18.791811
1: -17.049030
2: -24.947197
3: -6.316696
4: -30.719637
5: 40.904503
6: -7.766802
7: -30.466962
8: -0.957672
9: -14.028772
 52 result:5, answer:5
0: -6.601590
1: -10.713249
2: -12.814273
3: -0.564187
4: -31.021373
5: 24.180136
6: -10.589936
7: -11.799418
8: -6.459887
9: -11.734137
 53 result:5, answer:5
0: 10.968387
1: -29.613101
2: -35.212957
3: -24.849764
4: -20.067756
5: -9.037994
6: 59.600898
7: -24.883812
8: -2.558877
9: -36.583060
 54 result:6, answer:6
0: 28.594620
1: -16.996245
2: 8.820225
3: -16.456655
4: -4.937787
5: -17.424602
6: 1.720172
7: -29.626168
8: 0.603226
9: -2.942017
 55 result:0, answer:0
0: -16.771872
1: -3.018007
2: -5.319327
3: -17.316584
4: 18.303683
5: -3.397227
6: -12.579212
7: 8.739532
8: -23.339538
9: -4.879112
 56 result:4, answer:4
0: -13.862559
1: 17.329017
2: -13.259456
3: -7.673850
4: -2.978804
5: -1.861134
6: -9.827915
7: -3.724656
8: -4.370445
9: -4.386146
 57 result:1, answer:1
0: -30.201801
1: -32.290006
2: -17.389482
3: -8.845626
4: 2.917004
5: 3.257230
6: -39.760178
7: -4.567433
8: -5.583902
9: 20.490555
 58 result:9, answer:9
0: -11.766161
1: -22.191825
2: -18.088151
3: -15.968961
4: -18.878488
5: 22.396775
6: -29.196874
7: 0.279173
8: -5.370588
9: 5.678187
 59 result:5, answer:5
0: -8.697775
1: -27.714320
2: -14.639971
3: -16.732261
4: -15.564549
5: -16.634123
6: -60.317007
7: 43.374260
8: -37.147348
9: 2.901280
 60 result:7, answer:7
0: -5.349447
1: -20.966358
2: 4.074819
3: -1.118598
4: -13.704770
5: -10.920375
6: -17.409929
7: -6.799740
8: 18.845288
9: 4.443635
 61 result:8, answer:8
0: -8.385701
1: -10.504637
2: -8.673037
3: -3.536579
4: -6.877698
5: 2.310885
6: -19.458793
7: -1.984594
8: -2.080728
9: 6.277069
 62 result:9, answer:9
0: -27.233073
1: -2.045704
2: 9.479041
3: 20.803453
4: -22.388498
5: -2.172764
6: -33.326227
7: -3.148465
8: 3.904520
9: -3.128757
 63 result:3, answer:3
0: -43.830849
1: -19.428677
2: 2.171261
3: 3.725931
4: 7.392218
5: -32.246161
6: -41.561241
7: 25.624683
8: -19.620945
9: 12.069024
 64 result:7, answer:7
0: -17.885904
1: -5.701453
2: -3.085800
3: -9.860080
4: 13.445199
5: 0.942692
6: -0.267819
7: -8.547369
8: -13.945571
9: -1.560007
 65 result:4, answer:4
0: 4.800951
1: 0.406831
2: -4.578064
3: -12.585291
4: 2.995754
5: -5.260442
6: 21.007331
7: -12.323509
8: -3.601417
9: -11.914774
 66 result:6, answer:6
0: -7.757177
1: -18.713588
2: -12.285025
3: -19.623548
4: 13.337122
5: -0.648409
6: -4.091194
7: -0.929168
8: -20.431720
9: 3.268774
 67 result:4, answer:4
0: -36.491511
1: 2.942533
2: -4.058386
3: 22.690550
4: -2.711397
5: -3.475882
6: -21.190560
7: 5.479015
8: -11.489942
9: -1.251891
 68 result:3, answer:3
0: 47.149668
1: -45.059642
2: -26.859733
3: -24.477978
4: -19.994970
5: -20.159485
6: 15.527695
7: -41.624842
8: -10.973777
9: -15.230345
 69 result:0, answer:0
0: -36.405885
1: -26.743399
2: -9.841321
3: -10.481245
4: -12.104860
5: -34.093436
6: -74.022953
7: 47.703586
8: -44.417173
9: 10.604497
 70 result:7, answer:7
0: 39.681092
1: -25.718028
2: 1.829938
3: -23.598969
4: -23.167921
5: -24.238695
6: -3.652683
7: -13.946844
8: -2.030731
9: -11.808353
 71 result:0, answer:0
0: 10.103193
1: -1.985834
2: 36.803961
3: -5.014015
4: -24.649073
5: -36.362323
6: -30.720117
7: -3.304156
8: -24.224544
9: -6.709900
 72 result:2, answer:2
0: -17.463940
1: -11.912276
2: -12.925283
3: -6.369635
4: -0.581115
5: -4.419246
6: -24.655203
7: 1.166542
8: 0.301694
9: 14.818993
 73 result:9, answer:9
0: -10.316743
1: 14.699288
2: -12.712233
3: -13.867229
4: -5.798922
5: 0.321186
6: -7.380560
7: -4.533251
8: -3.356200
9: -3.733907
 74 result:1, answer:1
0: -56.587817
1: -6.215810
2: -5.083830
3: 1.702371
4: 9.065796
5: -41.068998
6: -43.039924
7: 31.575710
8: -27.432948
9: 4.612505
 75 result:7, answer:7
0: -27.889478
1: 4.200002
2: -0.804750
3: 19.310889
4: -7.787676
5: -0.499461
6: -16.259409
7: 0.687532
8: -7.728574
9: -2.060215
 76 result:3, answer:3
0: 5.733272
1: 7.255011
2: 32.372313
3: -13.587384
4: -23.321387
5: -34.772125
6: -19.339537
7: 5.643935
8: -11.438769
9: -19.405540
 77 result:2, answer:2
0: -16.391942
1: -15.992387
2: -9.251698
3: -10.523171
4: 5.170950
5: 0.597862
6: -13.575017
7: -4.179018
8: -1.692371
9: 8.708374
 78 result:9, answer:9
0: -20.429885
1: -18.298294
2: -1.664474
3: -5.014418
4: -4.654653
5: -17.296962
6: -36.100615
7: 14.227150
8: -12.250118
9: 6.483079
 79 result:7, answer:7
0: -6.803208
1: -24.045881
2: -22.695446
3: -6.993065
4: -3.029521
5: -0.926008
6: -34.912689
7: 20.755829
8: -20.856666
9: 9.071764
 80 result:7, answer:7
0: 1.443298
1: -9.638063
2: -9.198691
3: -18.168382
4: -7.063895
5: -1.183519
6: 21.651780
7: -24.381149
8: -1.323510
9: -14.153737
 81 result:6, answer:6
0: -12.698464
1: 6.225636
2: 47.253229
3: -13.997572
4: -19.612960
5: -30.468684
6: -24.848747
7: -2.737624
8: -14.633675
9: -27.354912
 82 result:2, answer:2
0: -13.837388
1: -17.808024
2: -18.293651
3: -3.560751
4: -7.798827
5: -8.960336
6: -31.430739
7: 27.674141
8: -19.564174
9: 2.277197
 83 result:7, answer:7
0: -13.791806
1: -9.423381
2: -9.709574
3: -10.088186
4: -1.405807
5: 2.004137
6: -4.123183
7: -7.203127
8: 16.220901
9: -1.456703
 84 result:8, answer:8
0: -18.741393
1: -5.981270
2: -4.307380
3: -13.202074
4: 17.199652
5: -3.780820
6: -8.194837
7: 4.983169
8: -23.217431
9: -6.392949
 85 result:4, answer:4
0: -33.234737
1: -9.049796
2: -10.873955
3: -1.991375
4: -0.452216
5: -24.025794
6: -39.244904
7: 19.811445
8: -14.602795
9: 6.447201
 86 result:7, answer:7
0: -10.994774
1: -0.043376
2: -1.967345
3: 9.117095
4: -6.347882
5: 0.576531
6: -6.760903
7: -1.239425
8: 0.944594
9: -5.559366
 87 result:3, answer:3
0: 3.226227
1: 0.046526
2: -9.600090
3: -34.630916
4: 8.177270
5: -10.689733
6: 42.617835
7: -18.953460
8: -20.836252
9: -21.033490
 88 result:6, answer:6
0: -4.519021
1: 11.102557
2: -10.285147
3: -6.085604
4: -4.848820
5: -0.683210
6: -0.917865
7: -2.405627
8: -4.085605
9: -6.471843
 89 result:1, answer:1
0: -33.895737
1: -4.968726
2: -8.869837
3: 22.384151
4: -7.359064
5: -3.193861
6: -22.128095
7: 1.278588
8: -3.521143
9: -0.974292
 90 result:3, answer:3
0: -6.161662
1: -10.593354
2: -11.789994
3: -23.621256
4: -8.237657
5: 2.220705
6: 33.494888
7: -27.030116
8: -2.468948
9: -24.102448
 91 result:6, answer:6
0: -19.420359
1: -10.120796
2: -13.628937
3: -15.560167
4: 1.059597
5: 1.009735
6: -12.246081
7: 1.937060
8: -2.785487
9: 7.103115
 92 result:9, answer:9
0: -19.950436
1: -3.279613
2: -10.139266
3: 14.012452
4: -4.670252
5: -3.324051
6: -25.620610
7: -0.034690
8: -8.458246
9: 4.175556
 93 result:3, answer:3
0: -9.243081
1: 12.767807
2: -4.942109
3: -7.426705
4: -5.035993
5: -14.626131
6: -13.389213
7: 0.756345
8: 3.441150
9: -1.466421
 94 result:1, answer:1
0: -0.541994
1: -0.431290
2: -4.108582
3: -2.944885
4: 0.752023
5: 1.396894
6: 0.288283
7: -1.792251
8: 1.814095
9: 0.538506
 95 result:8, answer:4
0: -13.178045
1: 12.786642
2: -11.618582
3: -8.295300
4: -6.162440
5: -2.197018
6: -15.270528
7: 4.293527
8: 2.993937
9: 1.972929
 96 result:1, answer:1
0: -30.927764
1: 4.008536
2: 13.308398
3: -0.640785
4: 4.608828
5: -45.630840
6: -18.551091
7: 20.164978
8: -10.099079
9: -11.810497
 97 result:7, answer:7
0: 9.812371
1: -20.157891
2: -13.636385
3: -20.236690
4: -20.034903
5: -1.697429
6: 25.893430
7: -41.196082
8: 6.794895
9: -21.720636
 98 result:6, answer:6
0: -20.687922
1: -35.402915
2: -15.156968
3: -5.809673
4: -0.460327
5: -2.130925
6: -42.929456
7: -3.433511
8: -8.549108
9: 21.781692
 99 result:9, answer:9
accuracy:97/100
clock time = 0.887705
init_time:    0.774701676
nn_time  :    0.112989334
all_time :    0.887691135
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
